user_id,event_type,device,traffic_source,region
1000,product_view,tablet,social,Mumbai
1001,product_view,mobile,organic,Bangalore
1002,product_view,mobile,social,Mumbai
1002,add_to_cart,mobile,social,Mumbai
1003,product_view,mobile,organic,Bangalore
1003,add_to_cart,mobile,organic,Bangalore
1003,checkout_start,mobile,organic,Bangalore
1003,purchase,mobile,organic,Bangalore
1004,product_view,mobile,paid_search,Chennai
1004,add_to_cart,mobile,paid_search,Chennai
1005,product_view,mobile,direct,Hyderabad
1006,product_view,desktop,organic,Delhi
1006,add_to_cart,desktop,organic,Delhi
1007,product_view,desktop,paid_search,Mumbai
1007,add_to_cart,desktop,paid_search,Mumbai
1007,checkout_start,desktop,paid_search,Mumbai
1007,purchase,desktop,paid_search,Mumbai
1008,product_view,mobile,paid_search,Mumbai
1008,add_to_cart,mobile,paid_search,Mumbai
1009,product_view,mobile,email,Mumbai
1010,product_view,desktop,organic,Bangalore
1011,product_view,tablet,email,Mumbai
1012,product_view,mobile,paid_search,Mumbai
1013,product_view,mobile,social,Bangalore
1014,product_view,mobile,organic,Mumbai
1015,product_view,mobile,paid_search,Chennai
1015,add_to_cart,mobile,paid_search,Chennai
1015,checkout_start,mobile,paid_search,Chennai
1015,purchase,mobile,paid_search,Chennai
1016,product_view,desktop,social,Hyderabad
1017,product_view,tablet,social,Delhi
1018,product_view,desktop,paid_search,Chennai
1018,add_to_cart,desktop,paid_search,Chennai
1018,checkout_start,desktop,paid_search,Chennai
1018,purchase,desktop,paid_search,Chennai
1019,product_view,desktop,organic,Hyderabad
1020,product_view,mobile,social,Hyderabad
1021,product_view,mobile,organic,Bangalore
1021,add_to_cart,mobile,organic,Bangalore
1022,product_view,mobile,organic,Bangalore
1022,add_to_cart,mobile,organic,Bangalore
1022,checkout_start,mobile,organic,Bangalore
1022,purchase,mobile,organic,Bangalore
1023,product_view,tablet,organic,Mumbai
1024,product_view,mobile,direct,Hyderabad
1025,product_view,mobile,direct,Hyderabad
1026,product_view,mobile,paid_search,Chennai
1026,add_to_cart,mobile,paid_search,Chennai
1026,checkout_start,mobile,paid_search,Chennai
1027,product_view,mobile,paid_search,Bangalore
1028,product_view,mobile,paid_search,Chennai
1029,product_view,mobile,organic,Chennai
1030,product_view,desktop,organic,Delhi
1030,add_to_cart,desktop,organic,Delhi
1030,checkout_start,desktop,organic,Delhi
1030,purchase,desktop,organic,Delhi
1031,product_view,mobile,organic,Chennai
1031,add_to_cart,mobile,organic,Chennai
1031,checkout_start,mobile,organic,Chennai
1032,product_view,mobile,organic,Hyderabad
